source,target,weight,correlation
HN1,B4,0.755244755,-0.755244755
HN1,B19,0.671328671,-0.671328671
HN1,B23,0.741258741,-0.741258741
HN1,B25,0.836431355,-0.836431355
HN1,B26,0.839160839,-0.839160839
HN1,B31,0.727272727,-0.727272727
HN1,B32,0.705410511,-0.705410511
HN1,B33,0.779482837,-0.779482837
HN1,B37,0.741258741,-0.741258741
HN1,B43,0.8231186,-0.8231186
HN1,B45,0.67250541,-0.67250541
HN1,B48,0.717862646,-0.717862646
HN1,B53,0.797202797,-0.797202797
HN1,B56,0.804195804,-0.804195804
HN1,B63,0.629370629,-0.629370629
HN1,B65,0.697200387,-0.697200387
HN1,B67,0.735269157,-0.735269157
HN1,B68,0.884562387,-0.884562387
HN1,B70,0.697023836,-0.697023836
HN1,B72,0.802451111,-0.802451111
HN1,B79,0.72027972,-0.72027972
HN1,B80,0.697200387,-0.697200387
HN1,B84,0.633818534,-0.633818534
HN1,B86,0.881118881,-0.881118881
HN1,B87,0.69794585,-0.69794585
HN1,B97,0.72027972,-0.72027972
HN1,B100,0.734265734,-0.734265734
HN1,B106,0.790374024,-0.790374024
HN1,B114,0.776223776,-0.776223776
HN1,B123,0.70336037,-0.70336037
HN1,B124,0.762237762,-0.762237762
HN1,B126,0.816921666,-0.816921666
HN1,B129,0.755244755,-0.755244755
HN1,B132,0.676073103,-0.676073103
HN1,B140,0.754567861,-0.754567861
HN1,B146,0.683013307,-0.683013307
HN1,B152,0.877097726,-0.877097726
HN1,B155,0.851139659,-0.851139659
HN1,B163,0.787521788,-0.787521788
HN1,B175,0.742733819,-0.742733819
HN1,B181,0.717862646,-0.717862646
HN1,B184,0.711034365,-0.711034365
HN1,B196,0.755244755,-0.755244755
HN1,B201,0.892027049,-0.892027049
HN1,B203,0.683013307,-0.683013307
HN1,B207,0.783216783,-0.783216783
HN1,B209,0.678321678,-0.678321678
HN1,B210,0.772592465,-0.772592465
HN1,B211,0.72027972,-0.72027972
HN1,B212,0.728547527,-0.728547527
HN1,B225,0.70336037,-0.70336037
HN1,B233,0.71803963,-0.71803963
HN1,B235,0.727804496,-0.727804496
HN1,B236,0.76880499,-0.76880499
HN1,B242,0.783122887,-0.783122887
HN1,B243,0.706293706,-0.706293706
HN1,B244,0.854703741,-0.854703741
HN1,B247,0.86013986,-0.86013986
HN1,B261,0.748251748,-0.748251748
HN1,B265,0.891889954,-0.891889954
HN1,B278,0.819378576,-0.819378576
HN1,B280,0.839774418,-0.839774418
HN1,B281,0.84723908,-0.84723908
HN1,B284,0.637479086,-0.637479086
HN1,B292,0.824845095,-0.824845095
HN1,B293,0.794986449,-0.794986449
HN1,B295,0.704029101,-0.704029101
HN1,B299,0.726093602,-0.726093602
HN1,B305,0.735269157,-0.735269157
HN1,B311,0.776223776,-0.776223776
HN1,B314,0.720339834,-0.720339834
HN1,B317,0.854703741,-0.854703741
HN1,B319,0.712875173,-0.712875173
HN1,B323,0.854227767,-0.854227767
HN1,B325,0.739616059,-0.739616059
HN1,B326,0.848383127,-0.848383127
HN1,B329,0.774081748,-0.774081748
HN1,B332,0.661997513,-0.661997513
HN1,B333,0.881118881,-0.881118881
HN1,B336,0.753065953,-0.753065953
HN1,B337,0.727272727,-0.727272727
HN1,B339,0.819378576,-0.819378576
HN1,B349,0.685314685,-0.685314685
HN1,B351,0.747449296,-0.747449296
HN1,B353,0.726093602,-0.726093602
HN1,B354,0.774667097,-0.774667097
HN1,B357,0.781709525,-0.781709525
HN1,B360,0.7253701,-0.7253701
HN1,B365,0.712875173,-0.712875173
HN1,B366,0.787521788,-0.787521788
HN1,B369,0.781709525,-0.781709525
HN1,B370,0.824845095,-0.824845095
HN1,B372,0.685314685,-0.685314685
HN1,B376,0.692307692,-0.692307692
HN1,B378,0.870136541,-0.870136541
HN1,B379,0.615755849,-0.615755849
HN1,B384,0.710611508,-0.710611508
HN1,B386,0.783216783,-0.783216783
HN1,B392,0.725113784,-0.725113784
HN1,B393,0.817380434,-0.817380434
HN1,B394,0.804195804,-0.804195804
HN1,B399,0.727272727,-0.727272727
HN1,B400,0.676263649,-0.676263649
HN1,B404,0.671328671,-0.671328671
HN1,B411,0.811516378,-0.811516378
HN1,B418,0.669030674,-0.669030674
HN1,B422,0.781087012,-0.781087012
HN1,B423,0.859176235,-0.859176235
HN1,B424,0.862168403,-0.862168403
HN1,B429,0.826629714,-0.826629714
HN1,B437,0.727804496,-0.727804496
HN1,B441,0.855634265,-0.855634265
HN1,B449,0.74646615,-0.74646615
HN1,B452,0.72027972,-0.72027972
HN1,B455,0.697619343,-0.697619343
HN1,B456,0.754567861,-0.754567861
HN1,B460,0.678321678,-0.678321678
HN1,B465,0.798600174,-0.798600174
HN1,B466,0.755244755,-0.755244755
HN1,B467,0.804195804,-0.804195804
HN1,B468,0.833880851,-0.833880851
HN1,B473,0.706293706,-0.706293706
HN1,B475,0.690157959,-0.690157959
HN1,B478,0.741258741,-0.741258741
HN1,B479,0.664335664,-0.664335664
HN1,B484,0.82931279,-0.82931279
HN1,B493,0.790160684,-0.790160684
HN1,B496,0.8231186,-0.8231186
HN1,B504,0.84723908,-0.84723908
HN1,B510,0.761369473,-0.761369473
HN1,B515,0.664335664,-0.664335664
HN1,B519,0.718975037,-0.718975037
HN1,B520,0.839774418,-0.839774418
HN1,B523,0.713286713,-0.713286713
HN1,B526,0.884562387,-0.884562387
HN1,B532,0.608391608,-0.608391608
HN1,B533,0.848383127,-0.848383127
HN1,B541,0.826629714,-0.826629714
HN1,B543,0.84354992,-0.84354992
HN1,B546,0.86013986,-0.86013986
HN1,B549,0.884562387,-0.884562387
HN1,B552,0.809915772,-0.809915772
HN1,B553,0.807957096,-0.807957096
HN1,B556,0.914421033,-0.914421033
HN1,B558,0.765127803,-0.765127803
HN1,B560,0.739454956,-0.739454956
